編號,書名,網址
1,臺灣割據志,https://zh.wikisource.org/wiki/臺灣割據志
2,東瀛識略,https://zh.wikisource.org/wiki/東瀛識略
3,小琉球漫誌,https://zh.wikisource.org/wiki/小琉球漫誌
4,臺海使槎錄,https://zh.wikisource.org/wiki/臺海使槎錄
5,臺灣鄭氏紀事,https://zh.wikisource.org/wiki/臺灣鄭氏紀事
6,臺游日記,https://zh.wikisource.org/wiki/臺游日記
7,東槎紀略,https://zh.wikisource.org/wiki/東槎紀略
8,東瀛紀事,https://zh.wikisource.org/wiki/東瀛紀事
9,蠡測彙鈔,https://zh.wikisource.org/wiki/蠡測彙鈔
11,閩海紀要,https://zh.wikisource.org/wiki/閩海紀要
12,東征集,https://zh.wikisource.org/wiki/東征集
13,靖海紀事,https://zh.wikisource.org/wiki/靖海紀事
14,平臺紀略,https://zh.wikisource.org/wiki/平臺紀略
15,臺灣鄭氏始末,https://zh.wikisource.org/wiki/臺灣鄭氏始末
19,海東札記,https://zh.wikisource.org/wiki/海東札記
20,臺陽筆記,https://zh.wikisource.org/wiki/臺陽筆記
22,海紀輯要,https://zh.wikisource.org/wiki/海紀輯要
24,海上見聞錄,https://zh.wikisource.org/wiki/海上見聞錄
25,賜姓始末,https://zh.wikisource.org/wiki/賜姓始末
26,海國聞見錄,https://zh.wikisource.org/wiki/海國聞見錄
27,劉壯肅公奏議,https://zh.wikisource.org/wiki/劉壯肅公奏議
30,臺陽見聞錄,https://zh.wikisource.org/wiki/臺陽見聞錄
32,從征實錄,https://zh.wikisource.org/wiki/從征實錄
35,靖海志,https://zh.wikisource.org/wiki/靖海志
41,北郭園詩鈔,https://zh.wikisource.org/wiki/北郭園詩鈔
44,裨海紀遊,https://zh.wikisource.org/wiki/裨海紀遊
49,東溟奏稿,https://zh.wikisource.org/wiki/東溟奏稿
55,臺灣采訪冊,https://zh.wikisource.org/wiki/臺灣采訪冊
63,樹杞林志,https://zh.wikisource.org/wiki/樹杞林志
64,臺灣詩乘,https://zh.wikisource.org/wiki/臺灣詩乘
65,臺灣府志,https://zh.wikisource.org/wiki/臺灣府志
76,南天痕,https://zh.wikisource.org/wiki/南天痕
80,金門志,https://zh.wikisource.org/wiki/金門志
85,南明野史,https://zh.wikisource.org/wiki/南明野史
86,所知錄,https://zh.wikisource.org/wiki/所知錄
90,番社采風圖考,https://zh.wikisource.org/wiki/番社采風圖考
95,廈門志,https://zh.wikisource.org/wiki/廈門志
96,東南紀事,https://zh.wikisource.org/wiki/東南紀事
98,平閩紀,https://zh.wikisource.org/wiki/平閩紀
99,海東逸史,https://zh.wikisource.org/wiki/海東逸史
100,哀臺灣箋釋,https://zh.wikisource.org/wiki/哀臺灣箋釋
101,新竹縣制度考,https://zh.wikisource.org/wiki/新竹縣制度考
103,臺灣縣志,https://zh.wikisource.org/wiki/臺灣縣志
106,明季三朝野史,https://zh.wikisource.org/wiki/明季三朝野史
107,臺風雜記,https://zh.wikisource.org/wiki/臺風雜記
108,彰化節孝冊,https://zh.wikisource.org/wiki/彰化節孝冊
109,澎湖紀略,https://zh.wikisource.org/wiki/澎湖紀略
110,臺灣海防檔,https://zh.wikisource.org/wiki/臺灣海防檔
111,思文大紀,https://zh.wikisource.org/wiki/思文大紀
112,明季遺聞,https://zh.wikisource.org/wiki/明季遺聞
113,重修臺灣縣志,https://zh.wikisource.org/wiki/重修臺灣縣志
115,澎湖續編,https://zh.wikisource.org/wiki/澎湖續編
119,諸蕃志,https://zh.wikisource.org/wiki/諸蕃志
127,鹿樵紀聞,https://zh.wikisource.org/wiki/鹿樵紀聞
128,臺灣通史,https://zh.wikisource.org/wiki/臺灣通史
129,臺海見聞錄,https://zh.wikisource.org/wiki/臺海見聞錄
130,臺灣通志,https://zh.wikisource.org/wiki/臺灣通志
131,李文忠公選集,https://zh.wikisource.org/wiki/李文忠公選集
132,南疆繹史,https://zh.wikisource.org/wiki/南疆繹史
133,續明紀事本末,https://zh.wikisource.org/wiki/續明紀事本末
134,小腆紀年,https://zh.wikisource.org/wiki/小腆紀年
135,海外慟哭記,https://zh.wikisource.org/wiki/海外慟哭記
138,小腆紀傳,https://zh.wikisource.org/wiki/小腆紀傳
140,續修臺灣縣志,https://zh.wikisource.org/wiki/續修臺灣縣志
141,諸羅縣志,https://zh.wikisource.org/wiki/諸羅縣志
146,重修鳳山縣志,https://zh.wikisource.org/wiki/重修鳳山縣志
147,窺園留草,https://zh.wikisource.org/wiki/窺園留草
148,明季南略,https://zh.wikisource.org/wiki/明季南略
149,三藩紀事本末,https://zh.wikisource.org/wiki/三藩紀事本末
159,苗栗縣志,https://zh.wikisource.org/wiki/苗栗縣志
160,噶瑪蘭廳志,https://zh.wikisource.org/wiki/噶瑪蘭廳志
161,臺灣語典,https://zh.wikisource.org/wiki/臺灣語典
162,臺灣三字經,https://zh.wikisource.org/wiki/臺灣三字經
163,東山國語,https://zh.wikisource.org/wiki/東山國語
172,淡水廳志,https://zh.wikisource.org/wiki/淡水廳志
177,爝火錄,https://zh.wikisource.org/wiki/爝火錄
183,聖安本紀,https://zh.wikisource.org/wiki/聖安本紀
198,清季外交史料選輯,https://zh.wikisource.org/wiki/清季外交史料選輯
206,戴案紀略,https://zh.wikisource.org/wiki/戴案紀略
209,野史無文,https://zh.wikisource.org/wiki/野史無文
212,魂南記,https://zh.wikisource.org/wiki/魂南記
213,海濱大事記,https://zh.wikisource.org/wiki/海濱大事記
217,鮚埼亭集選輯,https://zh.wikisource.org/wiki/鮚埼亭集選輯
234,行在陽秋,https://zh.wikisource.org/wiki/行在陽秋
235,幸存錄,https://zh.wikisource.org/wiki/幸存錄
240,青燐屑,https://zh.wikisource.org/wiki/青燐屑
241,吳耿尚孔四王全傳,https://zh.wikisource.org/wiki/吳耿尚孔四王全傳
242,江南聞見錄,https://zh.wikisource.org/wiki/江南聞見錄
244,明亡述略,https://zh.wikisource.org/wiki/明亡述略
246,江陰城守紀,https://zh.wikisource.org/wiki/江陰城守紀
250,崇禎朝野紀,https://zh.wikisource.org/wiki/崇禎朝野紀
254,研堂見聞雜記,https://zh.wikisource.org/wiki/研堂見聞雜記
257,玉堂薈記,https://zh.wikisource.org/wiki/玉堂薈記
258,江上孤忠錄,https://zh.wikisource.org/wiki/江上孤忠錄
260,閩中紀略,https://zh.wikisource.org/wiki/閩中紀略
263,烈皇小識,https://zh.wikisource.org/wiki/烈皇小識
266,弘光實錄鈔,https://zh.wikisource.org/wiki/弘光實錄鈔
268,浙東紀略,https://zh.wikisource.org/wiki/浙東紀略
269,蜀碧,https://zh.wikisource.org/wiki/蜀碧
270,崇禎長編,https://zh.wikisource.org/wiki/崇禎長編
271,客滇述,https://zh.wikisource.org/wiki/客滇述
272,崇禎記聞錄,https://zh.wikisource.org/wiki/崇禎記聞錄
275,明季北略,https://zh.wikisource.org/wiki/明季北略
282,石匱書後集,https://zh.wikisource.org/wiki/石匱書後集
